,date,freq
0,2016-01-11,2
1,2016-01-12,5
2,2016-01-13,4
3,2016-01-14,1
4,2016-01-15,1
5,2016-01-17,1
6,2016-01-18,1
7,2016-01-19,4
8,2016-01-20,2
9,2016-01-21,5
10,2016-01-28,2
11,2016-02-01,3
12,2016-02-02,1
13,2016-02-03,8
14,2016-02-04,3
15,2016-02-05,1
16,2016-02-08,3
17,2016-02-09,3
18,2016-02-10,1
19,2016-02-11,5
20,2016-02-16,3
21,2016-02-17,5
22,2016-02-18,3
23,2016-02-19,1
24,2016-02-22,3
25,2016-02-23,1
26,2016-02-24,3
27,2016-02-26,5
28,2016-02-27,1
29,2016-02-29,20
30,2016-03-01,3
31,2016-03-02,6
32,2016-03-03,3
33,2016-03-05,1
34,2016-03-06,1
35,2016-03-07,9
36,2016-03-08,5
37,2016-03-09,4
38,2016-03-10,9
39,2016-03-11,3
40,2016-03-14,1
41,2016-03-15,4
42,2016-03-16,5
43,2016-03-17,6
44,2016-03-18,2
45,2016-03-21,10
46,2016-03-22,5
47,2016-03-23,1
48,2016-03-24,6
49,2016-03-28,6
50,2016-03-29,3
51,2016-03-30,7
52,2016-03-31,4
53,2016-04-01,6
54,2016-04-02,1
55,2016-04-03,1
56,2016-04-04,7
57,2016-04-05,7
58,2016-04-06,7
59,2016-04-07,2
60,2016-04-08,3
61,2016-04-11,3
62,2016-04-12,1
63,2016-04-13,3
64,2016-04-14,6
65,2016-04-15,1
66,2016-04-16,1
67,2016-04-18,7
68,2016-04-19,2
69,2016-04-20,4
70,2016-04-21,3
71,2016-04-22,2
72,2016-04-25,6
73,2016-04-26,4
74,2016-04-27,6
75,2016-04-28,3
76,2016-04-29,1
77,2016-05-01,1
78,2016-05-02,2
79,2016-05-03,4
80,2016-05-04,4
81,2016-05-05,1
82,2016-05-06,3
83,2016-05-08,1
84,2016-05-09,3
85,2016-05-10,5
86,2016-05-11,6
87,2016-05-12,2
88,2016-05-13,1
89,2016-05-14,1
90,2016-05-15,1
91,2016-05-16,1
92,2016-05-17,5
93,2016-05-18,4
94,2016-05-19,2
95,2016-05-20,5
96,2016-05-23,2
97,2016-05-25,3
98,2016-05-26,2
99,2016-05-27,2
100,2016-05-29,1
101,2016-05-31,2
102,2016-06-01,5
103,2016-06-02,2
104,2016-06-03,1
105,2016-06-05,1
106,2016-06-06,11
107,2016-06-07,1
108,2016-06-08,2
109,2016-06-09,2
110,2016-06-10,3
111,2016-06-11,1
112,2016-06-13,6
113,2016-06-14,2
114,2016-06-15,3
115,2016-06-16,2
116,2016-06-17,2
117,2016-06-18,1
118,2016-06-20,3
119,2016-06-22,4
120,2016-06-23,3
121,2016-06-24,5
122,2016-06-25,2
123,2016-06-27,3
124,2016-06-28,5
125,2016-06-29,5
126,2016-06-30,5
127,2016-07-01,5
128,2016-07-04,1
129,2016-07-05,5
130,2016-07-06,9
131,2016-07-07,11
132,2016-07-08,2
133,2016-07-10,2
134,2016-07-11,3
135,2016-07-12,2
136,2016-07-13,1
137,2016-07-14,4
138,2016-07-15,3
139,2016-07-18,2
140,2016-07-19,2
141,2016-07-20,3
142,2016-07-21,6
143,2016-07-23,1
144,2016-07-25,5
145,2016-07-26,2
146,2016-07-27,1
147,2016-07-28,6
148,2016-07-29,5
149,2016-08-01,2
150,2016-08-02,3
151,2016-08-03,1
152,2016-08-04,1
153,2016-08-05,3
154,2016-08-08,2
155,2016-08-09,4
156,2016-08-10,2
157,2016-08-11,3
158,2016-08-12,1
159,2016-08-15,5
160,2016-08-16,3
161,2016-08-17,7
162,2016-08-18,5
163,2016-08-19,3
164,2016-08-21,1
165,2016-08-22,5
166,2016-08-23,7
167,2016-08-24,5
168,2016-08-25,8
169,2016-08-26,3
170,2016-08-29,3
171,2016-08-30,2
172,2016-08-31,6
173,2016-09-01,4
174,2016-09-02,2
175,2016-09-06,3
176,2016-09-07,5
177,2016-09-08,4
178,2016-09-09,2
179,2016-09-12,4
180,2016-09-13,5
181,2016-09-14,3
182,2016-09-15,3
183,2016-09-16,3
184,2016-09-19,9
185,2016-09-20,1
186,2016-09-22,1
187,2016-09-23,3
188,2016-09-25,1
189,2016-09-26,3
190,2016-09-27,9
191,2016-09-28,7
192,2016-09-29,3
193,2016-09-30,2
194,2016-10-01,2
195,2016-10-02,3
196,2016-10-03,6
197,2016-10-04,4
198,2016-10-05,4
199,2016-10-06,6
200,2016-10-07,9
201,2016-10-10,2
202,2016-10-11,9
203,2016-10-12,3
204,2016-10-13,2
205,2016-10-14,5
206,2016-10-15,1
207,2016-10-17,3
208,2016-10-18,7
209,2016-10-19,2
210,2016-10-20,1
211,2016-10-21,2
212,2016-10-24,5
213,2016-10-25,6
214,2016-10-26,2
215,2016-10-27,3
216,2016-10-29,2
217,2016-10-30,1
218,2016-10-31,4
219,2016-11-01,4
220,2016-11-02,7
221,2016-11-03,10
222,2016-11-04,1
223,2016-11-07,2
224,2016-11-08,6
225,2016-11-09,2
226,2016-11-10,2
227,2016-11-11,1
228,2016-11-14,7
229,2016-11-15,1
230,2016-11-16,2
231,2016-11-17,4
232,2016-11-18,3
233,2016-11-19,1
234,2016-11-21,3
235,2016-11-22,3
236,2016-11-23,3
237,2016-11-25,2
238,2016-11-26,1
239,2016-11-27,1
240,2016-11-28,14
241,2016-11-29,4
242,2016-11-30,5
243,2016-12-01,9
244,2016-12-02,1
245,2016-12-03,4
246,2016-12-05,2
247,2016-12-06,3
248,2016-12-07,4
249,2016-12-08,3
250,2016-12-09,6
251,2016-12-10,2
252,2016-12-11,2
253,2016-12-12,1
254,2016-12-13,4
255,2016-12-14,6
256,2016-12-15,7
257,2016-12-16,1
258,2016-12-19,9
259,2016-12-20,3
260,2016-12-21,1
261,2016-12-22,7
262,2016-12-23,4
263,2016-12-26,1
264,2016-12-27,4
265,2016-12-28,6
266,2016-12-29,1
267,2016-12-30,1
268,2017-01-03,3
269,2017-01-04,5
270,2017-01-05,3
271,2017-01-06,4
272,2017-01-07,1
273,2017-01-11,5
274,2017-01-12,4
275,2017-01-13,9
276,2017-01-14,3
277,2017-01-17,3
278,2017-01-18,3
279,2017-01-19,5
280,2017-01-21,3
281,2017-01-23,3
282,2017-01-24,3
283,2017-01-25,4
284,2017-01-26,2
285,2017-01-27,2
286,2017-01-30,4
287,2017-02-01,6
288,2017-02-02,1
289,2017-02-03,8
290,2017-02-04,1
291,2017-02-06,13
292,2017-02-07,5
293,2017-02-08,3
294,2017-02-10,2
295,2017-02-13,12
296,2017-02-14,3
297,2017-02-15,3
298,2017-02-16,8
299,2017-02-17,4
300,2017-02-20,5
301,2017-02-21,9
302,2017-02-22,3
303,2017-02-23,2
304,2017-02-24,3
305,2017-02-27,5
306,2017-02-28,4
307,2017-03-01,8
308,2017-03-02,1
309,2017-03-05,1
310,2017-03-06,10
311,2017-03-07,4
