day,cnt
2016-01-10,1
2016-01-11,43
2016-01-12,40
2016-01-13,40
2016-01-14,32
2016-01-15,48
2016-01-16,10
2016-01-17,7
2016-01-18,11
2016-01-19,55
2016-01-20,53
2016-01-21,63
2016-01-22,40
2016-01-23,1
2016-01-24,2
2016-01-25,11
2016-01-26,9
2016-01-27,19
2016-01-28,19
2016-01-29,26
2016-01-30,8
2016-01-31,8
2016-02-01,68
2016-02-02,52
2016-02-03,67
2016-02-04,74
2016-02-05,41
2016-02-06,14
2016-02-07,18
2016-02-08,76
2016-02-09,39
2016-02-10,35
2016-02-11,51
2016-02-12,39
2016-02-13,15
2016-02-14,4
2016-02-15,17
2016-02-16,56
2016-02-17,56
2016-02-18,50
2016-02-19,64
2016-02-20,6
2016-02-21,13
2016-02-22,102
2016-02-23,46
2016-02-24,48
2016-02-25,80
2016-02-26,57
2016-02-27,13
2016-02-28,11
2016-02-29,83
2016-03-01,73
2016-03-02,48
2016-03-03,45
2016-03-04,50
2016-03-05,15
2016-03-06,25
2016-03-07,78
2016-03-08,56
2016-03-09,50
2016-03-10,82
2016-03-11,76
2016-03-12,7
2016-03-13,16
2016-03-14,49
2016-03-15,66
2016-03-16,79
2016-03-17,67
2016-03-18,69
2016-03-19,13
2016-03-20,6
2016-03-21,79
2016-03-22,63
2016-03-23,52
2016-03-24,68
2016-03-25,15
2016-03-26,10
2016-03-27,5
2016-03-28,116
2016-03-29,68
2016-03-30,67
2016-03-31,75
2016-04-01,72
2016-04-02,15
2016-04-03,2
2016-04-04,95
2016-04-05,48
2016-04-06,55
2016-04-07,72
2016-04-08,43
2016-04-09,12
2016-04-10,13
2016-04-11,72
2016-04-12,41
2016-04-13,52
2016-04-14,58
2016-04-15,59
2016-04-16,14
2016-04-17,12
2016-04-18,79
2016-04-19,74
2016-04-20,44
2016-04-21,55
2016-04-22,40
2016-04-23,10
2016-04-24,11
2016-04-25,53
2016-04-26,47
2016-04-27,50
2016-04-28,49
2016-04-29,38
2016-04-30,14
2016-05-01,6
2016-05-02,46
2016-05-03,40
2016-05-04,65
2016-05-05,49
2016-05-06,41
2016-05-07,13
2016-05-08,7
2016-05-09,60
2016-05-10,62
2016-05-11,57
2016-05-12,62
2016-05-13,48
2016-05-14,16
2016-05-15,7
2016-05-16,60
2016-05-17,59
2016-05-18,47
2016-05-19,54
2016-05-20,54
2016-05-21,6
2016-05-22,9
2016-05-23,46
2016-05-24,56
2016-05-25,67
2016-05-26,61
2016-05-27,52
2016-05-28,9
2016-05-29,8
2016-05-30,11
2016-05-31,88
2016-06-01,74
2016-06-02,77
2016-06-03,72
2016-06-04,17
2016-06-05,12
2016-06-06,83
2016-06-07,75
2016-06-08,57
2016-06-09,71
2016-06-10,59
2016-06-11,15
2016-06-12,13
2016-06-13,67
2016-06-14,55
2016-06-15,53
2016-06-16,63
2016-06-17,52
2016-06-18,10
2016-06-19,12
2016-06-20,82
2016-06-21,78
2016-06-22,81
2016-06-23,82
2016-06-24,67
2016-06-25,24
2016-06-26,8
2016-06-27,87
2016-06-28,71
2016-06-29,65
2016-06-30,78
2016-07-01,77
2016-07-02,17
2016-07-03,8
2016-07-04,13
2016-07-05,69
2016-07-06,91
2016-07-07,87
2016-07-08,90
2016-07-09,15
2016-07-10,27
2016-07-11,95
2016-07-12,79
2016-07-13,63
2016-07-14,70
2016-07-15,61
2016-07-16,13
2016-07-17,13
2016-07-18,73
2016-07-19,72
2016-07-20,65
2016-07-21,54
2016-07-22,70
2016-07-23,11
2016-07-24,11
2016-07-25,83
2016-07-26,80
2016-07-27,72
2016-07-28,79
2016-07-29,63
2016-07-30,25
2016-07-31,9
2016-08-01,99
2016-08-02,88
2016-08-03,75
2016-08-04,69
2016-08-05,73
2016-08-06,29
2016-08-07,17
2016-08-08,98
2016-08-09,76
2016-08-10,91
2016-08-11,87
2016-08-12,65
2016-08-13,11
2016-08-14,14
2016-08-15,100
2016-08-16,94
2016-08-17,108
2016-08-18,64
2016-08-19,84
2016-08-20,21
2016-08-21,26
